img,class,conf,class-name,read,run,write
810,0,0.92,person,0.006,0.029,0.011
811,0,0.90,person,0.006,0.031,0.011
812,0,0.94,person,0.006,0.031,0.011
813,0,0.94,person,0.006,0.031,0.011
814,0,0.93,person,0.006,0.030,0.011
815,0,0.94,person,0.006,0.030,0.011
816,0,0.93,person,0.006,0.029,0.010
817,0;2,0.94;0.78,person;car,0.006,0.031,0.011
818,0,0.93,person,0.006,0.030,0.011
819,0,0.92,person,0.006,0.030,0.010
82,0,0.93,person,0.005,0.030,0.010
820,0;7,0.91;0.75,person;truck,0.005,0.030,0.011
821,0,0.90,person,0.006,0.031,0.010
822,0,0.93,person,0.006,0.030,0.011
823,0,0.91,person,0.006,0.030,0.010
824,0;13,0.94;0.57,person;bench,0.006,0.030,0.012
825,0,0.95,person,0.006,0.029,0.011
826,0,0.93,person,0.006,0.031,0.011
827,0,0.93,person,0.006,0.031,0.011
828,7;0,0.94;0.93,truck;person,0.005,0.031,0.010
829,0,0.94,person,0.006,0.030,0.011
83,0,0.93,person,0.006,0.030,0.011
830,0,0.94,person,0.006,0.030,0.011
831,0,0.93,person,0.006,0.031,0.011
832,0,0.94,person,0.006,0.030,0.011
833,0,0.92,person,0.006,0.030,0.011
834,0,0.94,person,0.006,0.030,0.011
835,0;13;58,0.94;0.79;0.63,person;bench;potted plant,0.006,0.030,0.012
836,0,0.90,person,0.006,0.030,0.011
837,0;24,0.90;0.54,person;backpack,0.006,0.031,0.011
838,0,0.94,person,0.006,0.030,0.010
839,0,0.61,person,0.005,0.030,0.010
84,0,0.93,person,0.006,0.029,0.011
840,0,0.89,person,0.006,0.031,0.010
841,0,0.93,person,0.006,0.031,0.010
842,0;2,0.93;0.91,person;car,0.006,0.030,0.011
843,0,0.93,person,0.006,0.029,0.011
844,0,0.91,person,0.005,0.031,0.010
845,0,0.94,person,0.006,0.030,0.011
846,0,0.92,person,0.006,0.030,0.011
847,0,0.94,person,0.006,0.030,0.011
848,0;7,0.93;0.74,person;truck,0.006,0.029,0.011
849,0,0.87,person,0.005,0.030,0.010
85,0,0.93,person,0.005,0.031,0.010
850,0,0.94,person,0.006,0.030,0.011
851,0,0.92,person,0.006,0.030,0.011
852,0,0.91,person,0.005,0.030,0.010
853,0;13;58,0.94;0.85;0.54,person;bench;potted plant,0.006,0.031,0.012
854,0,0.93,person,0.006,0.030,0.011
855,0,0.92,person,0.006,0.030,0.011
856,0,0.93,person,0.006,0.030,0.010
857,0,0.94,person,0.006,0.030,0.011
858,0,0.92,person,0.006,0.031,0.011
859,0,0.93,person,0.006,0.030,0.011
86,0;13,0.93;0.71,person;bench,0.006,0.030,0.011
860,0,0.94,person,0.006,0.030,0.011
861,0,0.93,person,0.006,0.029,0.011
862,0;2,0.90;0.71,person;car,0.006,0.030,0.011
863,0,0.91,person,0.006,0.031,0.011
864,0,0.92,person,0.006,0.030,0.010
865,0;7,0.91;0.91,person;truck,0.005,0.030,0.010
866,0,0.90,person,0.006,0.030,0.011
867,0,0.87,person,0.006,0.031,0.011
868,0,0.93,person,0.006,0.030,0.010
869,0,0.93,person,0.005,0.031,0.010
87,0,0.93,person,0.006,0.029,0.011
870,0;2,0.91;0.84,person;car,0.006,0.030,0.011
871,0,0.92,person,0.006,0.031,0.011
872,0;2,0.93;0.92,person;car,0.006,0.031,0.011
873,0,0.94,person,0.006,0.030,0.011
874,0,0.88,person,0.006,0.030,0.011
